,Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Policy,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size,Customer Lifetime Value,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies
1825,AR96516,Oregon,No,Basic,Bachelor,1/28/11,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer2,Web,Two-Door Car,Medsize,0.11697901471503466,0.9931332278988022,0.0014634856495710886,0.00035598299584161617,3.955366620462402e-05,0.0,0.00017799149792080808
1826,WH11924,Washington,No,Basic,College,2/5/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer4,Web,Two-Door Car,Large,0.9998576089231838,0.0,0.015280316288895871,0.0006456471671364453,0.007102118838500898,0.0,0.0006456471671364453
1827,DL26809,Nevada,No,Basic,College,2/27/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Small,0.9999412885059918,0.0,0.009960161439973653,0.0019041485105831986,0.003808297021166397,0.0,0.0002929459247051075
1828,MV69686,Oregon,No,Extended,Doctor,1/3/11,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer1,Agent,Four-Door Car,Large,0.10288393583359431,0.9946890460384856,0.0025577718326703913,0.0006717380570649514,0.0012659678767762545,2.583607911788274e-05,2.583607911788274e-05
1829,SC95565,Nevada,No,Basic,High School or Below,2/15/11,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer4,Branch,Two-Door Car,Medsize,0.04651314422162022,0.9989169659936076,0.0011435890319833942,0.00033824464326269406,0.0,0.0,1.6106887774414e-05
1830,RL31641,Oregon,No,Basic,College,1/29/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Web,Two-Door Car,Medsize,0.9988733695714069,0.0,0.02882537916672748,0.0057650758333454965,0.03725125923084782,0.0,0.00044346737179580737
1831,OH83248,California,No,Premium,Master,1/1/11,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer4,Call Center,Four-Door Car,Medsize,0.14580144035627932,0.989312156952604,0.0018271437543467266,0.0001378976418374888,0.0001896092575265471,0.0,5.1711615689058296e-05
1832,DB28979,California,No,Basic,Bachelor,1/26/11,Employed,M,Suburban,Divorced,Corporate Auto,Corporate L3,Offer3,Agent,Two-Door Car,Medsize,0.3028893958239265,0.9530206640705768,0.0026326537681507648,0.0008910520446048742,0.0013770804325711693,0.0,8.100473132771583e-05
1833,ZS32263,California,No,Extended,High School or Below,2/22/11,Employed,F,Suburban,Divorced,Personal Auto,Personal L1,Offer2,Agent,Four-Door Car,Medsize,0.0772662561758716,0.9970083402062374,0.0019374433350296102,0.0005302476495870512,0.0005098535092183184,0.0,2.039414036873274e-05
1834,IY59173,Oregon,No,Extended,Master,1/6/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize,0.07559113224665302,0.9971362394553187,0.0018678115046355454,0.0002751040200625997,0.001317603464510346,0.0,1.4479158950663143e-05
1835,KL17620,California,No,Basic,College,1/28/11,Disabled,F,Suburban,Single,Corporate Auto,Corporate L1,Offer4,Web,Four-Door Car,Medsize,0.5088672936411096,0.8608279803236019,0.004496116959077012,0.0002141008075750958,0.002997411306051341,0.0,0.00014273387171673054
1836,CP28581,Arizona,No,Basic,College,2/11/11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Branch,SUV,Medsize,0.14227532097905593,0.9898250446556138,0.001788135738277067,0.00018382703851446482,0.0009358467415281846,0.0,8.35577447793022e-05
1837,QR15592,Arizona,No,Basic,Bachelor,2/18/11,Employed,F,Rural,Divorced,Personal Auto,Personal L1,Offer2,Branch,Four-Door Car,Medsize,0.09456518063359114,0.9955172521292798,0.0012029208564647426,0.00010024340470539521,0.0011695063882296106,0.0,5.0121702352697604e-05
1838,DX98298,Washington,No,Basic,High School or Below,1/8/11,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer4,Agent,Sports Car,Small,0.0708085439600975,0.9974879898274372,0.001769272336145769,0.00041629937321076917,0.0007458697103359614,0.0,1.7345807217115383e-05
1839,TG68823,Arizona,Yes,Basic,Bachelor,1/12/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Small,0.20703570818257666,0.9783298758482515,0.0026079454795031767,0.00011677367818670942,0.0,0.0,0.00023354735637341883
1840,WO78310,Oregon,No,Basic,College,2/8/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Large,0.9997943946379292,0.0,0.014659873750619752,0.0007209773975714633,0.01393889635304829,0.0,0.0012016289959524387
1841,SC78905,Oregon,No,Basic,College,2/4/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Small,0.9993993300334969,0.0,0.027248047854802324,0.00848709687280728,0.01965432960018528,0.0,0.00044668930909512006
1842,EL88957,California,No,Basic,College,1/14/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,0.9991889985361261,0.0,0.028877268276990525,0.004331590241548579,0.027722177545910904,0.00028877268276990525,0.00028877268276990525
1843,SS54050,California,No,Basic,Bachelor,1/11/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Small,0.3357670329389498,0.9419431301952527,0.0014684755153263332,0.00031467332471278565,0.0011747804122610665,4.195644329503809e-05,4.195644329503809e-05
1844,ZV99487,Arizona,No,Extended,Bachelor,1/11/11,Unemployed,F,Rural,Married,Personal Auto,Personal L1,Offer1,Call Center,Four-Door Car,Medsize,0.9999061543102293,0.0,0.013309939428514123,0.0030054701935354473,0.0011449410261087417,0.0,0.00042935288479077817
1845,XI51746,Oregon,No,Basic,Bachelor,1/21/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer3,Call Center,SUV,Medsize,0.29620134750123417,0.9551167695670261,0.0037918769968405984,0.0,0.0015100395120161674,6.711286720071855e-05,0.00023489503520251494
1846,KG85675,Nevada,Yes,Extended,Bachelor,1/10/11,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,SUV,Small,0.3408438579290443,0.9400685884077858,0.00894135958905925,0.0020190166814004758,0.0035332791924508325,0.0,7.210773862144556e-05
1847,KK64803,California,No,Extended,High School or Below,2/5/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,0.3162635994687857,0.9486706650317117,0.0011408940213573793,4.609672813565169e-05,2.3048364067825844e-05,1.1524182033912922e-05,2.3048364067825844e-05
1848,OM80593,California,No,Basic,Bachelor,2/23/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize,0.9998638032283319,0.0,0.014348190663264572,0.001241670345859434,0.008001875562205243,0.0,0.0009657436023351154
1849,RL59810,Oregon,No,Basic,College,2/18/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize,0.06534369433308254,0.9978617820439688,0.000813958119434285,3.815428684848211e-05,0.0011827828923029454,0.0,5.087238246464281e-05
1850,QQ53360,Nevada,No,Extended,College,1/13/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Offer3,Agent,Two-Door Car,Medsize,0.9993822402951617,0.0,0.03356744969198047,0.00948645317382057,0.004013499419693318,0.0014594543344339337,0.0003648635836084834
1851,WR76339,California,No,Basic,College,1/11/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Branch,Two-Door Car,Medsize,0.10790359887859424,0.9941601415206465,0.0013560003635250282,0.0007203751931226713,0.0002542500681609428,0.0,6.35625170402357e-05
1852,BA40043,California,No,Basic,College,1/3/11,Employed,M,Rural,Single,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize,0.0951327869977504,0.9954631245394341,0.0012137993905966175,0.00047567813955813387,0.0010989805293239645,0.0,0.00011481886127265301
1853,MK52197,Nevada,No,Basic,Master,2/8/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,0.9998928051810544,0.0,0.012891151971240584,0.0005446965621650951,0.006899489787424538,0.0,0.0005446965621650951
1854,SV48204,Oregon,Yes,Extended,College,2/1/11,Employed,F,Rural,Divorced,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize,0.169108498643076,0.9855951898630341,0.0014354580725569489,0.0003548323325421671,0.0014999730421100701,0.0,3.225748477656065e-05
1855,RJ79502,Arizona,No,Basic,Bachelor,2/8/11,Employed,M,Urban,Divorced,Personal Auto,Personal L3,Offer3,Call Center,SUV,Small,0.08642050288861719,0.9962580429626069,0.0010877178310561813,4.0662348824530145e-05,0.00046761701148209666,0.0,7.115911044292775e-05
1856,SM14243,Washington,No,Basic,High School or Below,2/26/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,0.9999454328461399,0.0,0.00878180144584407,0.0035601897753421903,0.004390900722922035,0.0,0.0002373459850228127
1857,NL32558,Arizona,Yes,Extended,High School or Below,2/19/11,Disabled,F,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Two-Door Car,Small,0.28252365877654595,0.9592532737031894,0.0036491678361970886,4.344247424044153e-05,0.0003909822681639738,0.0,0.0002606548454426492
1858,CP92616,Nevada,No,Extended,High School or Below,2/25/11,Employed,M,Urban,Married,Personal Auto,Personal L1,Offer3,Agent,Luxury SUV,Small,0.4911709214945508,0.8710594853337866,0.002466074489234993,8.395147197395721e-05,0.0006401299738014239,1.0493933996744652e-05,2.0987867993489303e-05
1859,BP28492,Arizona,Yes,Basic,College,1/31/11,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer2,Call Center,Four-Door Car,Medsize,0.12392290957555427,0.9922884949045971,0.0016917066789890582,0.0007945895007372849,0.0017686024371249246,0.00010252767751448838,0.00015379151627173258
1860,MX28412,Oregon,No,Basic,College,1/13/11,Medical Leave,F,Suburban,Married,Personal Auto,Personal L2,Offer4,Web,Four-Door Car,Medsize,0.08937296327881158,0.995992871149321,0.0023598437365210394,6.940716872120704e-05,0.002255732983439229,0.00010411075308181055,3.470358436060352e-05
1861,DT99586,California,No,Basic,Master,2/8/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,0.516339600387967,0.8563814039615371,0.0016000107462889389,1.3913136924251643e-05,0.001321748007803906,0.0,2.7826273848503286e-05
1862,IC41932,Nevada,No,Basic,College,1/4/11,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize,0.07684071540899952,0.997039996170644,0.00198641559235662,0.00012305229333182602,0.001669995409503353,1.7578899047403717e-05,1.7578899047403717e-05
1863,DA35744,Oregon,No,Basic,Doctor,1/10/11,Employed,M,Rural,Single,Corporate Auto,Corporate L3,Offer4,Agent,Four-Door Car,Small,0.24393399485422662,0.9697910545248793,0.00103113640935765,0.00015975352821034013,0.0006535371608604823,0.0,2.9046096038243658e-05
1864,GU96042,California,No,Basic,High School or Below,2/4/11,Employed,M,Urban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Two-Door Car,Medsize,0.13582855921471806,0.9907306990370418,0.0011392008793073695,0.00020403597838340945,0.0013942458522866311,0.0,3.4005996397234907e-05
1865,UW98698,California,No,Basic,College,2/8/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Medsize,0.9993254348569581,0.0,0.029937835243930927,0.009685770225977653,0.01893127816895632,0.0,0.0004402622829989842
1866,SF32458,California,No,Basic,Doctor,1/30/11,Medical Leave,M,Urban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,0.3680897054077231,0.9297608067667007,0.004867085441513503,0.001696105532648645,0.005309547754378367,7.374371881081065e-05,0.00022123115643243196
1867,OM85313,California,No,Basic,Master,1/15/11,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize,0.045966676269670194,0.9989414857239555,0.0011484075096906841,0.00033036380415759405,0.0012427971680214252,0.0,1.5731609721790193e-05
1868,MH81246,Oregon,No,Extended,High School or Below,2/17/11,Employed,M,Urban,Married,Corporate Auto,Corporate L2,Offer1,Agent,Four-Door Car,Medsize,0.20555059915088608,0.9786422693410178,0.0025919292039820597,0.0009449741889517926,0.0007829786137029138,0.0,0.00018899483779035852
1869,OH99089,California,No,Basic,Master,2/22/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Branch,Four-Door Car,Medsize,0.1892955475365564,0.9819158192523451,0.002371306563630448,0.0009095422435842815,0.001429280668489585,0.0,0.0001624182577829074
1870,TG57800,Oregon,No,Basic,College,1/13/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Call Center,Two-Door Car,Medsize,0.999567506050515,0.0,0.028442214938431413,0.007302730862570227,0.0015374170236989951,0.0,0.0003843542559247488
1871,GX19342,California,No,Premium,High School or Below,1/28/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Large,0.9998413594200115,0.0,0.013658607539709875,0.00035323985016491057,0.011421421821998776,0.0,0.00035323985016491057
1872,XE39286,Arizona,No,Extended,Bachelor,1/3/11,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer4,Web,Sports Car,Small,0.09794002528534775,0.9951915102294844,0.0012118893436029912,3.0046843229826228e-05,0.0003705777331678568,0.0,5.007807204971038e-05
1873,JA93297,California,Yes,Basic,Bachelor,1/25/11,Retired,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize,0.6915780125495041,0.7222970315200223,0.002044956734073167,0.0005799131036923907,0.0015260871149799754,0.0,6.104348459919902e-05
1874,II37789,Arizona,No,Extended,College,2/18/11,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Branch,Four-Door Car,Large,0.9999555138129179,0.0,0.009395797569016734,0.0006996870530118845,0.0003998211731496483,0.0,0.00019991058657482414
1875,IC32996,Oregon,No,Basic,High School or Below,2/9/11,Employed,M,Urban,Married,Corporate Auto,Corporate L3,Offer4,Agent,Two-Door Car,Medsize,0.07019438874871317,0.9975325025661502,0.0008787309581142166,0.00017286510651427214,0.0009219472347427847,1.440542554285601e-05,4.3216276628568035e-05
1876,LO67195,Arizona,No,Extended,College,1/28/11,Employed,F,Rural,Married,Corporate Auto,Corporate L2,Offer1,Agent,Four-Door Car,Large,0.13167485468803145,0.9912913812504456,0.0016271844536735417,0.00045985647603817483,0.0005129168386579642,0.0,8.8433937699649e-05
1877,PG93638,Oregon,No,Basic,College,1/22/11,Employed,M,Urban,Married,Personal Auto,Personal L1,Offer3,Call Center,Two-Door Car,Medsize,0.19537496564848134,0.980722021435936,0.0024756287411329342,0.0003730399472940038,0.0025773669085767535,0.0,0.00016956361240636538
1878,OZ41737,Oregon,No,Basic,Doctor,2/22/11,Unemployed,F,Urban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Large,0.9998996412430691,0.0,0.013041896048005935,0.0009315640034289953,0.005403071219888173,0.0,0.0007452512027431963
1879,OY66019,Oregon,No,Extended,College,2/28/11,Unemployed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Medsize,0.9998334687917945,0.0,0.01325768377780776,0.0012778490388248443,0.012459028128542233,0.0,0.0006389245194124222
1880,CH73843,Arizona,No,Basic,High School or Below,2/9/11,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer4,Branch,Two-Door Car,Large,0.10842107307823236,0.9941041189952913,0.0009101954737582065,0.0003271014983818555,0.0009670826908680945,0.0,2.8443608554943954e-05
1881,XT93203,California,Yes,Premium,High School or Below,2/8/11,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Luxury SUV,Medsize,0.19317429153617482,0.9811509245348422,0.004862852284583771,0.0005814279905480596,0.0016033317315113159,0.0,1.7619030016607867e-05
1882,OR85652,Oregon,No,Extended,Bachelor,2/17/11,Employed,F,Rural,Married,Personal Auto,Personal L1,Offer4,Agent,Four-Door Car,Medsize,0.09444703193574172,0.9955290977087436,0.0011698045442716481,7.629160071336835e-05,0.00044503433749464873,0.0,3.8145800356684175e-05
1883,YD87931,Washington,No,Basic,Doctor,1/10/11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize,0.10500419232654115,0.9944706417024809,0.0013147641544173025,0.0001908528611250923,0.0006997938241253384,2.1205873458343588e-05,8.482349383337435e-05
1884,XK11432,Arizona,No,Basic,Bachelor,2/2/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,Two-Door Car,Small,0.9998076915455553,0.0,0.01328753586805219,0.005572192460796079,0.01328753586805219,0.0,0.0006429452839380092
1885,OX24868,California,No,Premium,High School or Below,2/25/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,0.9995802447621924,0.0,0.027886727670640668,0.00182591669272052,0.007635651624103993,0.0,0.00016599242661095637
1886,EZ74530,Nevada,No,Basic,High School or Below,1/8/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Web,Sports Car,Medsize,0.9993371762662192,0.0,0.03380855562862321,0.008127056641495965,0.010727714766774674,0.0009752467969795157,0.0003250822656598386
1887,HP46467,Oregon,No,Extended,College,2/18/11,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L2,Offer3,Web,SUV,Large,0.225637571703072,0.974192467963177,0.005785477831719592,0.0006377692097958605,0.0016855329116033458,0.0,4.555494355684718e-05
1888,KP54476,California,No,Extended,Master,1/22/11,Employed,M,Suburban,Single,Personal Auto,Personal L1,Offer2,Web,Two-Door Car,Medsize,0.08894551820173416,0.9960356976479499,0.0011088910875017347,0.0002972285389179907,0.0005144340096657533,0.0,3.4295600644383544e-05
1889,AI47152,Nevada,No,Basic,College,1/21/11,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Medsize,0.22003916119929098,0.9754889426455227,0.0018169630923577495,0.0005230651326484431,0.0007157733394136589,0.0,5.5059487647204534e-05
1890,BU15334,California,Yes,Basic,Master,1/17/11,Employed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Branch,SUV,Large,0.14016311652762223,0.9901211466059783,0.0035959189018681583,0.0009409881238533498,0.0007729545303081088,3.360671870904821e-05,3.360671870904821e-05
1891,GD59796,Nevada,No,Premium,College,2/15/11,Employed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,0.3998698988383264,0.9165686255980966,0.0017559115716808942,0.00044758530258532595,0.0016526226556996652,5.164445799061454e-05,3.442963866040969e-05
1892,OX59701,California,No,Extended,High School or Below,1/20/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer4,Branch,SUV,Medsize,0.25094903406148406,0.9679788026618084,0.006405267712557906,0.0006451348775238178,0.00041472956412245434,4.60810626802727e-05,4.60810626802727e-05
1893,OD63728,California,No,Basic,College,2/4/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize,0.9996745799975716,0.0,0.014254441124382603,0.0052631782613105,0.020394815762578185,0.0,0.001973691847991437
1894,JC38573,Oregon,Yes,Basic,Bachelor,1/19/11,Employed,M,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,0.15142030533807532,0.9884670091066671,0.0019721132968211048,0.00043824739929357884,0.000849104336131309,0.0,0.0002465141621026381
1895,RC11491,Oregon,No,Extended,College,1/2/11,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer1,Call Center,SUV,Medsize,0.337834506331402,0.9411940338492478,0.004259237889811091,0.00022759286434105068,0.0018532561810628411,0.0,9.753979900330743e-05
1896,RZ24101,Nevada,No,Premium,College,1/4/11,Medical Leave,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize,0.28075024499183737,0.9597524194763064,0.007271744997465564,0.0008647480537526616,0.000982668242900752,0.0,3.930672971603007e-05
1897,OB88698,Oregon,No,Basic,High School or Below,1/23/11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer4,Branch,Two-Door Car,Medsize,0.08124499922729937,0.9966935526454396,0.0010249311484900718,0.00016339482077377956,0.0003564977907791554,0.0,8.912444769478886e-05
1898,IK92617,Oregon,No,Extended,Bachelor,2/11/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,0.1180357129284035,0.9930086788343104,0.0009744335394878238,3.0451048108994494e-05,0.0006191713115495548,0.0,2.0300698739329664e-05
1899,YH43996,Arizona,No,Premium,College,1/21/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Small,0.9999107787304236,0.0,0.009911130032241042,0.0014719500047882736,0.008831700028729642,0.0,0.00019626000063843648
1900,BJ65040,Arizona,No,Basic,High School or Below,1/3/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Medsize,0.029203972333548413,0.99957319462635,0.000715827658136829,0.00020299590305372764,5.341997448782306e-05,0.0,1.0683994897564612e-05
1901,WY57101,Arizona,Yes,Extended,Doctor,1/8/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize,0.10677003365419492,0.9942801237864208,0.00263304441084035,0.00023936767371275912,0.0004521389392352117,0.0,2.659640819030657e-05
1902,OG77759,Arizona,No,Basic,Bachelor,1/14/11,Disabled,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,0.24456420453124184,0.9696302894664474,0.002129772131183609,0.00048091628768662145,0.0008244279217484939,0.0,6.870232681237449e-05
1903,HN38084,Nevada,No,Basic,High School or Below,1/10/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L1,Offer3,Branch,Two-Door Car,Small,0.22488999230463835,0.9743814393101052,0.0014135866238422952,9.551260971907399e-05,0.0018147395846624058,0.0,3.82050438876296e-05
1904,GD11927,California,No,Basic,High School or Below,2/25/11,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Small,0.030449382604508534,0.999535724097794,0.0007798385773481542,0.0002940374963771729,0.0006903489045377103,0.0,1.278423897292056e-05
1905,MC20349,California,No,Basic,Bachelor,1/30/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,0.9998762714938693,0.0,0.01420618610437659,0.0067191420763943336,0.0003839509757939619,0.0,0.0005759264636909429
1906,HM22034,Nevada,No,Basic,College,1/22/11,Unemployed,M,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,0.9997932165863637,0.0,0.013546448458123793,0.006773224229061897,0.013546448458123793,0.0,0.0007968499093013997
1907,KH48996,Arizona,No,Basic,Bachelor,2/23/11,Employed,F,Rural,Divorced,Personal Auto,Personal L2,Offer3,Branch,Sports Car,Small,0.12151990415853979,0.9925883598225962,0.0010211289129392481,0.0002246483608466346,0.00040845156517569926,2.0422578258784964e-05,2.0422578258784964e-05
1908,VM34210,Washington,No,Basic,College,1/1/11,Unemployed,F,Urban,Married,Personal Auto,Personal L2,Offer1,Web,SUV,Medsize,0.9998888042860435,0.0,0.013648916257508551,0.0037838579723786085,0.004594684680745453,0.0,0.0008108267083668446
1909,LS90887,California,No,Basic,Bachelor,2/18/11,Employed,F,Urban,Married,Special Auto,Special L2,Offer2,Web,Four-Door Car,Medsize,0.2114782517076654,0.9773783100840809,0.00268336466448251,0.0006708411661206275,0.0009317238418342049,3.72689536733682e-05,0.00026088267571357736
1910,EN72010,Oregon,No,Basic,College,1/25/11,Disabled,M,Suburban,Single,Personal Auto,Personal L2,Offer3,Agent,Two-Door Car,Medsize,0.33364203262262276,0.9426855173992313,0.003211875698123446,0.0010553305865262752,0.003946018714837377,0.0,9.176787708924131e-05
1911,KH44031,Oregon,No,Extended,Master,1/4/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L1,Offer2,Call Center,Four-Door Car,Medsize,0.9995851403982878,0.0,0.026217640597411104,0.006317503758412314,0.010108006013459701,0.0,0.00031587518792061567
1912,GJ47896,Arizona,No,Basic,College,1/13/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer1,Branch,Two-Door Car,Medsize,0.07474229725836778,0.9971974589503162,0.0018818756090941944,0.0003932277392137123,0.0026683310875216188,0.0,2.8087695658122305e-05
1913,GD87742,Oregon,No,Basic,College,1/26/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Web,Sports Car,Medsize,0.23311416969377188,0.972446618819186,0.001945288889615921,4.945649719362511e-05,0.0012528979289051694,0.0,3.2970998129083404e-05
1914,MD14027,Nevada,No,Basic,Bachelor,1/20/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Agent,Two-Door Car,Medsize,0.9998834590632557,0.0,0.009666733861304316,0.0020901046186603926,0.011626206941298435,0.00013063153866627454,0.0002612630773325491
1915,XA32915,Nevada,No,Basic,High School or Below,2/15/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Branch,Two-Door Car,Small,0.9995288372596561,0.0,0.029080645686912054,0.009542086866018018,0.0022719254442900043,0.0,0.00045438508885800084
1916,XR52852,Oregon,Yes,Basic,College,2/22/11,Unemployed,F,Suburban,Divorced,Special Auto,Special L2,Offer1,Branch,Four-Door Car,Small,0.999272218512314,0.0,0.03290440517248927,0.007976825496361035,0.017449305773289767,0.001994206374090259,0.0004985515935225647
1917,EZ48947,Nevada,No,Basic,College,1/31/11,Employed,M,Rural,Single,Special Auto,Special L2,Offer1,Agent,SUV,Large,0.19150311898012107,0.9814906560277508,0.0016212846231093698,2.9212335551520178e-05,0.0001314555099818408,0.0,2.9212335551520178e-05
1918,OJ50322,Nevada,No,Premium,High School or Below,1/21/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize,0.37445224928056714,0.9272338927507398,0.004703635754371963,0.0007364278201289437,0.000356336041997876,0.0,0.00016629015293234212
1919,XB77333,Oregon,Yes,Basic,College,1/27/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Large,0.9999856420390607,0.0,0.005152249570316191,0.001439599144647171,0.00015153675206812327,0.00022730512810218489,0.00015153675206812327
1920,QB58745,California,No,Basic,High School or Below,1/23/11,Employed,M,Urban,Married,Personal Auto,Personal L2,Offer4,Web,Two-Door Car,Large,0.07955731937014336,0.9968282786917679,0.0019978234462857893,0.00014270167473469923,5.708066989387969e-05,0.0,2.8540334946939845e-05
1921,IG62421,Nevada,Yes,Extended,Doctor,2/18/11,Employed,M,Rural,Divorced,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,0.11081394484727825,0.9938358222032981,0.002837964511597178,0.0008062399180673802,0.0013867326590758938,0.0,3.2249596722695205e-05
1922,SF29724,California,No,Basic,Bachelor,1/12/11,Employed,F,Rural,Single,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Medsize,0.08572598292109918,0.996314871902064,0.0022115757422909305,0.0008530363577407873,0.001453321202076897,0.0,3.1593939175584715e-05
1923,WM95454,California,Yes,Extended,Bachelor,1/3/11,Retired,F,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize,0.12174730493473462,0.9925549799327822,0.0033119134340672918,0.0008067481441958788,0.0007642877155539904,0.0,4.246042864188836e-05
