,customer,state,response,coverage,education,effective to date,employmentstatus,gender,location code,marital status,policy type,policy,renew offer type,sales channel,vehicle class,vehicle size,vehicle type
953,IS95117,Arizona,No,Basic,College,1/25/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,A
954,KB58189,Oregon,No,Basic,College,2/10/11,Employed,F,Urban,Married,Special Auto,Special L2,Offer3,Agent,Four-Door Car,Medsize,A
955,XB35510,California,No,Basic,Bachelor,1/5/11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer1,Branch,SUV,Medsize,A
956,VH45094,Arizona,No,Basic,High School or Below,2/13/11,Employed,M,Urban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Large,A
957,QK12068,Oregon,No,Basic,High School or Below,1/17/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Small,A
959,QR72180,California,No,Extended,Doctor,1/20/11,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer2,Call Center,Four-Door Car,Small,A
961,US90854,Oregon,No,Basic,Bachelor,1/16/11,Employed,M,Urban,Single,Personal Auto,Personal L2,Offer2,Web,SUV,Medsize,A
963,XO90806,California,No,Basic,College,2/24/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Small,A
967,CI51999,Arizona,No,Basic,College,1/5/11,Medical Leave,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Branch,SUV,Medsize,A
968,QX22025,California,No,Basic,High School or Below,1/5/11,Employed,F,Urban,Married,Corporate Auto,Corporate L1,Offer3,Branch,SUV,Medsize,A
971,HF15113,Oregon,No,Basic,Bachelor,1/2/11,Disabled,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Web,Two-Door Car,Medsize,A
975,JO90877,Washington,No,Basic,Bachelor,2/18/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Large,A
976,II32272,California,No,Extended,High School or Below,2/17/11,Disabled,F,Suburban,Married,Personal Auto,Personal L3,Offer4,Call Center,Sports Car,Medsize,A
977,EM53324,Oregon,No,Basic,College,2/15/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,A
984,NC58480,Nevada,No,Basic,Bachelor,1/23/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer4,Web,Four-Door Car,Medsize,A
985,EK87864,Arizona,No,Basic,College,1/6/11,Employed,F,Rural,Married,Special Auto,Special L2,Offer1,Agent,Four-Door Car,Medsize,A
986,QY46560,Arizona,No,Basic,Bachelor,2/26/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Agent,Two-Door Car,Medsize,A
988,EJ96266,California,No,Basic,College,2/11/11,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer2,Branch,Four-Door Car,Medsize,A
989,OW84864,California,No,Extended,College,1/31/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Medsize,A
990,DA69469,Oregon,No,Extended,College,1/16/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Medsize,A
991,MU57098,Oregon,Yes,Extended,Bachelor,1/19/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L1,Offer2,Agent,Four-Door Car,Small,A
996,NL39999,Washington,No,Basic,High School or Below,1/27/11,Medical Leave,M,Suburban,Divorced,Personal Auto,Personal L2,Offer3,Call Center,Two-Door Car,Large,A
1000,VR14881,Oregon,No,Extended,Bachelor,1/27/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer2,Agent,Sports Car,Medsize,A
1001,OA92714,California,No,Basic,Bachelor,1/10/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer3,Call Center,Four-Door Car,Small,A
1002,UA50747,Washington,No,Basic,High School or Below,2/20/11,Employed,F,Urban,Married,Corporate Auto,Corporate L3,Offer4,Branch,Four-Door Car,Small,A
1005,KG40352,Oregon,No,Basic,College,2/18/11,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Small,A
1006,GQ26671,California,No,Basic,High School or Below,2/6/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer2,Call Center,Two-Door Car,Medsize,A
1008,UE10014,Arizona,No,Basic,High School or Below,2/8/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Luxury Car,Small,A
1012,UC69263,California,No,Basic,Bachelor,2/16/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Agent,Two-Door Car,Medsize,A
1013,NE22677,California,No,Extended,College,2/14/11,Unemployed,M,Suburban,Divorced,Special Auto,Special L2,Offer1,Web,SUV,Small,A
1017,CF26052,Arizona,No,Basic,Bachelor,1/16/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Web,Two-Door Car,Medsize,A
1022,YI83073,California,Yes,Basic,High School or Below,1/18/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,A
1023,YY11432,Oregon,No,Extended,High School or Below,2/1/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,A
1026,UA58104,California,No,Basic,College,1/13/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,A
1030,VY23882,Arizona,Yes,Basic,Bachelor,1/13/11,Employed,M,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,A
1031,RN66968,California,No,Basic,High School or Below,1/3/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Large,A
1032,OW83209,Nevada,No,Basic,Bachelor,2/18/11,Employed,M,Urban,Divorced,Personal Auto,Personal L3,Offer1,Branch,SUV,Medsize,A
1033,NX71501,California,No,Basic,Doctor,1/3/11,Employed,F,Rural,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Small,A
1035,MX76292,California,No,Basic,Doctor,2/13/11,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,A
1037,KQ49890,Oregon,No,Basic,High School or Below,1/18/11,Employed,M,Urban,Married,Corporate Auto,Corporate L3,Offer2,Agent,Four-Door Car,Medsize,A
1039,AC73173,California,No,Basic,Bachelor,2/20/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Offer3,Call Center,SUV,Large,A
1044,HC76653,Oregon,No,Basic,College,1/7/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Agent,Four-Door Car,Medsize,A
1047,QJ22615,Arizona,No,Basic,Master,2/21/11,Employed,F,Suburban,Married,Special Auto,Special L3,Offer2,Call Center,Four-Door Car,Medsize,A
1048,TC78849,Oregon,No,Basic,Bachelor,2/12/11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Medsize,A
1051,XH20787,California,No,Basic,College,2/18/11,Employed,M,Urban,Married,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Large,A
1055,ZR86524,Oregon,No,Basic,College,1/9/11,Employed,F,Rural,Married,Corporate Auto,Corporate L2,Offer1,Call Center,Four-Door Car,Medsize,A
1057,SQ70457,Oregon,No,Basic,Bachelor,1/2/11,Employed,M,Suburban,Single,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,A
1059,YN61339,Oregon,Yes,Premium,College,2/16/11,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer2,Branch,Four-Door Car,Medsize,A
1061,UO40192,Nevada,No,Basic,High School or Below,2/5/11,Employed,M,Urban,Married,Personal Auto,Personal L3,Offer2,Web,Four-Door Car,Large,A
1063,WG15595,California,No,Basic,College,1/9/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Small,A
1066,KV99077,Nevada,No,Basic,College,2/8/11,Employed,M,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Web,Two-Door Car,Small,A
1068,QF29828,Arizona,No,Extended,Master,2/8/11,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize,A
1069,FG46258,Washington,No,Extended,College,2/4/11,Medical Leave,F,Urban,Married,Corporate Auto,Corporate L2,Offer3,Web,Two-Door Car,Medsize,A
1072,NM95102,Oregon,Yes,Basic,High School or Below,2/28/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Small,A
1074,SL98898,Nevada,Yes,Basic,High School or Below,1/24/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L1,Offer2,Web,Sports Car,Medsize,A
1081,FZ19620,Oregon,No,Extended,High School or Below,2/23/11,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,A
1082,OT85112,Washington,No,Extended,College,2/24/11,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,A
1084,AS48176,Oregon,Yes,Basic,Bachelor,2/5/11,Retired,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Branch,SUV,Medsize,A
1086,WX87964,Washington,No,Basic,High School or Below,2/15/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,A
1089,QY41527,Arizona,No,Basic,Bachelor,2/21/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer4,Agent,SUV,Medsize,A
1090,JX14364,Oregon,No,Basic,College,2/24/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize,A
1092,UK25655,Oregon,No,Extended,Bachelor,1/14/11,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer2,Call Center,Two-Door Car,Medsize,A
1094,OK86731,Oregon,No,Basic,College,2/25/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer4,Web,Sports Car,Medsize,A
1101,VC68509,Oregon,No,Extended,Bachelor,1/20/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize,A
1102,YJ53102,Oregon,No,Extended,Master,1/10/11,Unemployed,F,Urban,Married,Corporate Auto,Corporate L2,Offer1,Agent,Four-Door Car,Medsize,A
1104,DR32525,Arizona,No,Extended,College,2/25/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize,A
1105,BU14748,Arizona,No,Extended,High School or Below,2/14/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer4,Agent,Two-Door Car,Medsize,A
1106,FB71914,California,No,Extended,College,2/17/11,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Medsize,A
1107,SZ61347,California,No,Extended,College,2/17/11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer4,Branch,SUV,Medsize,A
1108,SS69401,Oregon,No,Basic,College,2/5/11,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Web,Four-Door Car,Medsize,A
1110,HP87787,Arizona,Yes,Basic,Bachelor,1/21/11,Employed,M,Rural,Married,Corporate Auto,Corporate L3,Offer2,Agent,SUV,Medsize,A
1113,BQ15946,Oregon,No,Extended,Doctor,2/20/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,A
1117,RK24470,Washington,No,Basic,Bachelor,1/19/11,Employed,M,Urban,Divorced,Corporate Auto,Corporate L2,Offer1,Branch,Two-Door Car,Medsize,A
1118,FP78531,California,No,Basic,Bachelor,1/15/11,Employed,F,Rural,Single,Personal Auto,Personal L3,Offer3,Call Center,SUV,Medsize,A
1119,BI34376,California,No,Extended,Doctor,1/10/11,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer4,Agent,Two-Door Car,Small,A
1120,GW33762,Oregon,Yes,Extended,Bachelor,1/27/11,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Call Center,Two-Door Car,Large,A
1123,DQ35195,Arizona,No,Premium,Bachelor,2/5/11,Employed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Agent,Two-Door Car,Small,A
1126,CA79988,Oregon,No,Basic,College,2/6/11,Employed,M,Rural,Single,Personal Auto,Personal L1,Offer1,Call Center,Four-Door Car,Large,A
1129,QO68842,California,No,Basic,Doctor,2/10/11,Employed,F,Rural,Single,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,A
1136,SI11249,California,No,Basic,High School or Below,2/11/11,Employed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Small,A
1138,WR86431,Nevada,No,Extended,High School or Below,1/25/11,Employed,F,Rural,Divorced,Corporate Auto,Corporate L1,Offer1,Agent,SUV,Medsize,A
1139,XL49151,Arizona,No,Extended,College,2/26/11,Employed,M,Suburban,Single,Corporate Auto,Corporate L3,Offer3,Branch,Four-Door Car,Medsize,A
1141,CL52383,Arizona,No,Extended,Bachelor,1/15/11,Employed,F,Urban,Married,Special Auto,Special L2,Offer3,Branch,Four-Door Car,Medsize,A
1142,SD64087,California,No,Premium,College,1/19/11,Employed,M,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Branch,SUV,Small,A
1143,JZ81608,Oregon,No,Extended,High School or Below,2/10/11,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer4,Branch,Four-Door Car,Medsize,A
1144,OB69329,California,Yes,Extended,College,2/16/11,Retired,F,Suburban,Divorced,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize,A
1145,NE51159,Oregon,No,Extended,College,1/24/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Small,A
1146,BB21794,Oregon,No,Basic,Bachelor,2/7/11,Employed,F,Rural,Single,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize,A
1147,JA34909,California,Yes,Basic,College,2/2/11,Medical Leave,F,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Call Center,Four-Door Car,Medsize,A
1148,EZ30537,Oregon,No,Premium,Doctor,1/1/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Branch,Luxury Car,Medsize,A
1149,DO12179,Oregon,No,Basic,Bachelor,2/22/11,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer3,Call Center,Two-Door Car,Medsize,A
1150,UY95661,California,No,Basic,Master,2/26/11,Employed,M,Urban,Married,Personal Auto,Personal L2,Offer3,Branch,Two-Door Car,Medsize,A
1152,AF69537,Arizona,No,Premium,College,1/6/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,A
1154,KN90631,Nevada,No,Basic,High School or Below,1/16/11,Retired,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Web,SUV,Medsize,A
1158,YF80144,Washington,No,Premium,Bachelor,2/2/11,Disabled,M,Suburban,Married,Personal Auto,Personal L3,Offer3,Branch,Luxury SUV,Small,A
1162,QL93655,Oregon,No,Extended,High School or Below,1/12/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer2,Agent,Two-Door Car,Medsize,A
1164,UP60200,California,No,Premium,Bachelor,2/2/11,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer1,Call Center,Two-Door Car,Medsize,A
1170,WT86597,Oregon,Yes,Extended,Master,1/31/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Small,A
1174,SN94425,Oregon,No,Basic,High School or Below,1/5/11,Unemployed,F,Suburban,Divorced,Special Auto,Special L3,Offer1,Agent,Four-Door Car,Medsize,A
1176,IX97339,Arizona,No,Extended,College,2/24/11,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L3,Offer1,Branch,SUV,Medsize,A
1179,DF65548,California,No,Premium,Master,1/24/11,Employed,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Two-Door Car,Small,A
1186,UF33451,Oregon,No,Extended,Bachelor,2/14/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer1,Agent,SUV,Medsize,A
1188,UQ24268,Oregon,No,Extended,High School or Below,2/12/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L1,Offer4,Agent,Four-Door Car,Medsize,A
1189,IT37924,Oregon,No,Extended,College,1/17/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Medsize,A
1190,JM35350,California,No,Basic,College,2/2/11,Retired,F,Suburban,Married,Special Auto,Special L3,Offer2,Agent,Two-Door Car,Medsize,A
1191,PJ74689,Nevada,No,Extended,Bachelor,1/25/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Call Center,SUV,Medsize,A
1192,KF80571,Arizona,No,Basic,High School or Below,1/2/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize,A
1198,DJ22229,Washington,No,Extended,Bachelor,1/17/11,Retired,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,A
1200,FK54851,California,No,Extended,High School or Below,1/31/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Medsize,A
1206,LH53046,Nevada,No,Basic,High School or Below,2/8/11,Employed,F,Urban,Single,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Small,A
1208,NP60037,Oregon,No,Basic,Bachelor,2/23/11,Employed,M,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Web,Luxury SUV,Medsize,A
1216,SU44811,Oregon,No,Extended,High School or Below,1/19/11,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer4,Call Center,Four-Door Car,Medsize,A
1217,OJ65117,Oregon,No,Basic,Bachelor,2/4/11,Employed,F,Suburban,Divorced,Personal Auto,Personal L2,Offer3,Agent,Four-Door Car,Small,A
1218,WP73172,Oregon,No,Basic,Bachelor,2/26/11,Employed,F,Urban,Married,Special Auto,Special L2,Offer3,Branch,SUV,Medsize,A
1219,GU56606,Nevada,No,Extended,Bachelor,1/5/11,Employed,M,Suburban,Divorced,Personal Auto,Personal L1,Offer2,Branch,Two-Door Car,Medsize,A
1220,UC10048,Oregon,No,Extended,College,2/19/11,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer1,Web,Four-Door Car,Medsize,A
1221,FG96614,California,No,Extended,Doctor,1/10/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Small,A
1222,PJ84431,California,No,Basic,High School or Below,2/12/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer3,Branch,Luxury Car,Medsize,A
1223,QH61060,Arizona,No,Basic,High School or Below,2/27/11,Employed,F,Suburban,Married,Special Auto,Special L2,Offer1,Call Center,SUV,Medsize,A
1229,DW62043,Oregon,No,Basic,College,2/5/11,Employed,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer2,Call Center,Four-Door Car,Medsize,A
1234,AG45299,California,No,Basic,College,1/20/11,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer2,Web,SUV,Small,A
1238,RA47157,California,No,Extended,High School or Below,2/18/11,Employed,M,Urban,Married,Corporate Auto,Corporate L2,Offer4,Agent,Two-Door Car,Medsize,A
1240,GE29173,Nevada,No,Extended,Bachelor,1/15/11,Unemployed,M,Suburban,Single,Corporate Auto,Corporate L2,Offer1,Branch,SUV,Medsize,A
1241,LF19061,Arizona,No,Basic,High School or Below,2/1/11,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer3,Web,Two-Door Car,Medsize,A
1242,VJ34494,Washington,No,Basic,College,2/12/11,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L1,Offer1,Branch,Four-Door Car,Large,A
1243,BW79345,Nevada,No,Basic,High School or Below,1/30/11,Employed,F,Suburban,Divorced,Personal Auto,Personal L2,Offer2,Call Center,Two-Door Car,Medsize,A
1244,DO83038,California,No,Basic,College,1/21/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize,A
1245,TQ88221,California,No,Basic,Bachelor,1/7/11,Employed,F,Suburban,Married,Corporate Auto,Corporate L1,Offer4,Call Center,Four-Door Car,Medsize,A
1246,ER10834,Nevada,No,Basic,Master,1/6/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer4,Call Center,Four-Door Car,Medsize,A
1248,DL17162,Arizona,No,Extended,College,2/12/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Medsize,A
1256,YI79084,Nevada,No,Extended,Doctor,1/17/11,Employed,M,Suburban,Single,Personal Auto,Personal L1,Offer2,Agent,Two-Door Car,Medsize,A
1257,TZ22914,Oregon,No,Basic,Master,1/14/11,Disabled,M,Urban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Large,A
1258,LM50087,Arizona,No,Basic,College,2/28/11,Employed,F,Rural,Married,Corporate Auto,Corporate L2,Offer3,Agent,Two-Door Car,Medsize,A
1260,HR10526,California,No,Basic,Master,1/25/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Call Center,Four-Door Car,Medsize,A
1262,OB32861,Nevada,No,Extended,High School or Below,1/21/11,Unemployed,M,Suburban,Married,Special Auto,Special L2,Offer4,Web,Two-Door Car,Medsize,A
1266,AP34711,Arizona,No,Extended,Master,2/19/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Branch,SUV,Large,A
1267,AK61491,Oregon,Yes,Basic,Doctor,1/29/11,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Large,A
1269,QV48556,Arizona,No,Basic,Master,1/5/11,Disabled,F,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Agent,Two-Door Car,Medsize,A
1271,UE13511,Oregon,No,Basic,High School or Below,1/2/11,Unemployed,F,Suburban,Married,Corporate Auto,Corporate L1,Offer1,Agent,Four-Door Car,Small,A
1273,PR80703,California,No,Basic,Bachelor,2/9/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,A
1275,TK32843,California,No,Premium,Bachelor,2/13/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize,A
1277,PD32052,California,No,Basic,High School or Below,1/19/11,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,A
1281,ZZ35218,Oregon,No,Basic,Doctor,1/28/11,Unemployed,M,Urban,Married,Corporate Auto,Corporate L3,Offer4,Agent,Two-Door Car,Medsize,A
1286,WR63188,Arizona,No,Basic,College,1/16/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize,A
1289,IV35546,Nevada,No,Basic,Master,2/8/11,Employed,F,Urban,Married,Corporate Auto,Corporate L1,Offer1,Branch,Four-Door Car,Medsize,A
1294,TS11219,California,No,Basic,College,1/2/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,SUV,Medsize,A
1296,QJ49871,Oregon,No,Basic,College,1/21/11,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer3,Call Center,SUV,Medsize,A
1300,HG60406,California,No,Extended,College,1/2/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer3,Call Center,Four-Door Car,Medsize,A
1301,PX99904,California,No,Extended,Bachelor,2/6/11,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L1,Offer2,Branch,Sports Car,Small,A
1307,YX72707,Oregon,No,Basic,Doctor,1/19/11,Unemployed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Small,A
1308,KU92052,California,No,Basic,High School or Below,2/19/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize,A
1309,VU79621,Oregon,No,Basic,Master,1/1/11,Unemployed,M,Suburban,Divorced,Personal Auto,Personal L2,Offer2,Branch,Sports Car,Large,A
1317,RN55306,Oregon,No,Basic,High School or Below,1/10/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,A
1324,PU78245,Arizona,No,Basic,Bachelor,1/16/11,Employed,F,Rural,Single,Personal Auto,Personal L3,Offer1,Agent,SUV,Large,A
1327,SJ29837,Washington,No,Basic,High School or Below,2/24/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer2,Web,SUV,Small,A
1330,XO11574,California,No,Extended,High School or Below,2/11/11,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize,A
1332,UO86707,Washington,No,Basic,Bachelor,2/15/11,Employed,M,Rural,Single,Personal Auto,Personal L3,Offer3,Branch,Four-Door Car,Medsize,A
1336,CX20455,Arizona,Yes,Basic,College,1/30/11,Unemployed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Branch,SUV,Medsize,A
1337,ZM52280,Arizona,No,Basic,Bachelor,2/2/11,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Web,Luxury SUV,Large,A
1343,CX99919,Nevada,No,Basic,College,2/6/11,Retired,F,Suburban,Single,Corporate Auto,Corporate L3,Offer3,Branch,SUV,Medsize,A
1349,IX35050,Arizona,Yes,Basic,Bachelor,1/31/11,Employed,M,Rural,Married,Special Auto,Special L3,Offer3,Agent,Four-Door Car,Medsize,A
1351,AB62982,Oregon,No,Basic,Doctor,2/4/11,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Call Center,Two-Door Car,Small,A
1354,IW78492,Arizona,No,Basic,College,1/14/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Web,Sports Car,Medsize,A
1358,JY67916,Oregon,No,Premium,College,1/27/11,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Offer2,Branch,Two-Door Car,Small,A
1359,CD45044,Arizona,No,Basic,High School or Below,2/3/11,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize,A
1360,WW52683,California,No,Basic,Bachelor,1/26/11,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize,A
1361,FQ46354,California,No,Extended,Bachelor,2/4/11,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer1,Web,Four-Door Car,Medsize,A
1362,QS23134,Arizona,No,Premium,College,1/22/11,Employed,M,Suburban,Married,Personal Auto,Personal L2,Offer2,Call Center,Two-Door Car,Medsize,A
1363,PR22184,California,No,Basic,College,1/13/11,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer4,Branch,Sports Car,Medsize,A
1368,NE70589,California,No,Basic,College,1/20/11,Disabled,M,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,SUV,Medsize,A
1374,ER50891,California,No,Extended,High School or Below,1/7/11,Employed,M,Urban,Married,Personal Auto,Personal L1,Offer4,Agent,Four-Door Car,Medsize,A
1376,EQ96084,California,No,Extended,Bachelor,1/15/11,Employed,F,Rural,Divorced,Corporate Auto,Corporate L3,Offer4,Web,Four-Door Car,Medsize,A
1380,WK23685,Oregon,No,Extended,Bachelor,1/6/11,Employed,F,Rural,Married,Corporate Auto,Corporate L2,Offer1,Agent,Four-Door Car,Medsize,A
1381,YK92080,California,No,Extended,College,2/1/11,Employed,F,Suburban,Single,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize,A
1385,WI58274,Oregon,No,Basic,College,1/23/11,Employed,F,Rural,Married,Personal Auto,Personal L1,Offer2,Agent,Sports Car,Medsize,A
1389,DO93657,California,No,Extended,Master,1/9/11,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Two-Door Car,Medsize,A
